id,state,bill_number,name,most_recent_action,action_date,current_legislative_status,categories,bill_track_link,legislative_sessions,summary,number_of_sponsors,trifecta_status,sponsors_partisan_affiliations
2744,LA,HB646,Makes revisions to the Louisiana Election Code,Effective date: See Act.,2022-06-03,Enacted,"Absentee/mail-in ballot administration,States of emergency,Recalls,Vacancy procedures,Early voting administration,Election workers/volunteers",https://www.billtrack50.com/billdetail/1467395/30830,2022,"<p><p><ul><li>Makes exceptions to regulations regarding the Voter Registration Administrators Certification Program for a state of emergency, allowing those who completed the course within six years to serve in the roll.</li><li>Extends deadlines for certification renewal requirements of election personnel in a state of emergency.<br></li><li>Removes the option of early voting in the office of the registrar for voters who registered by mail and have not previously voted in the parish.</li><li>Expands the specialists who can submit a certification of disability to include optometrists, physician assistants, and nurse practitioners.</li><li>Allows the Department of State or registrar of voters to transmit certain information about a registered voter to the Department of Health to amend a voter's birth certificate.</li><li>Requires the secretary of state to publish a proclamation made by the governor immediately after it is issued.</li><li>Requires the secretary of state to produce a report on the number of qualified electors for a recall petition and to notify the registrar of voters.</li><li>Provides that the specifications of the absentee ballot envelope will be determined by the secretary of state.</li><li>Allows early voting when an elector has out-of-parish work responsibilities.</li><li>Outlines a system for adding early voting commissioners if within one year of an emergency the registrar of voters determines there is a shortage due to displacement.</li><li>Revises reporting requirements for counting absentee and early voting ballots, requiring them to be entered by members of the board, and a copy of the final report by posted at the location where tabulation occurred and at the office of the registrar of voters.</li><li>Requires the registrar to preserve absentee and early voting ballots and not allow their inspection until recounting is complete.</li><li>Provides for alternate designees to serve on the board of election supervisors.</li><li>Provides rules for compensation of board members.</li><li>Changes deadlines for course completion for commissioners-in-charge in the case of a state of emergency.</li><li>Allows the secretary of state to contract for delivery of voting machines within certain timeframes.</li><li>Requires the contract be advertised and allow for bids in accordance with current rules.</li><li>Outlines certain timeline and security requirements for the contractor and election authorities.</li></ul></p></p>",1,Divided,Republican
3002,LA,SR151,Creates a task force to study ways to increase early voting in Louisiana with an emphasis on rural communities.,Enrolled. Signed by the President of the Senate and sent to the Secretary of State by the Secretary of the Senate.,2022-06-03,Enacted,Early voting administration,https://www.billtrack50.com/billdetail/1486526/30830,2022,"<p><p><ul><li>Creates a task force to develop ""pragmatic and equitable solutions"" to increase early voting turnout, with consideration to cost, voting locations, and logistics.</li><li>Lists required members of the task force and outlines the appointment process.</li><li>Outlines how the task force should operate.</li><li>Requires the secretary of state to provide support and staff for the task force.&nbsp;</li><li>Provides that the task force will terminate with the submission of the report.</li></ul></p></p>",1,Divided,Democratic
2950,LA,HCR90,Requests the State Board of Election Supervisors to study and make recommendations regarding specified election issues,Taken by the Clerk of the House and presented to the Secretary of State in accordance with the Rules of the House.,2022-06-01,Enacted,Election dates and administrative deadlines,https://www.billtrack50.com/billdetail/1481062/30830,2022,<p>This resolution would urge and request the State Board of Election Supervisors to study and make recommendations regarding extending the time period between the primary and general election and to make recommendations regarding ways to accomplish the election of congressmen in Louisiana on federal election day.&nbsp;</p><p><br></p>,1,Divided,Republican
2687,LA,HB178,(Constitutional Amendment) Provides relative to the right to vote,Reported without Legislative Bureau amendments. Read by title and passed to third reading and final passage.,2022-05-31,Passed one chamber,Ballot measures (initiative and referendum),https://www.billtrack50.com/billdetail/1462190/30830,2022,"<p>This bill would propose a referendum on a constitutional amendment to enshrine that the qualifications to vote, and permissible limitations of that right to vote, may not be changed by municipalities in the state.<br></p>",32,Divided,Republican
2694,LA,SB73,Provides for appointments to fill vacancies in local offices under certain circumstances. (8/1/22),Effective date 5/31/2022.,2022-05-31,Enacted,"Special election procedures,Vacancy procedures",https://www.billtrack50.com/billdetail/1462648/30830,2022,"<p>This bill would mandate that if the unexpired term of an office for which a vacancy has been filled by an appointee is one year or more and the vacancy occurs within one year of the first election at which a redistricting plan adopted following the most recent federal census is to be utilized, no special election will be called and the appointee shall serve the remainder of the term of office.<br></p>",1,Divided,Republican
2793,LA,HCR14,Creates a task force to study and make recommendations relative to the voting rights of people with disabilities,Taken by the Clerk of the House and presented to the Secretary of State in accordance with the Rules of the House.,2022-05-26,Enacted,"Election workers/volunteers,In-person voter assistance",https://www.billtrack50.com/billdetail/1471374/30830,2022,"<p>This resolution would create a task force to study the voting rights of persons with disabilities and the procedures available to assist voters with disabilities to cast their votes. This task force would be required to report its findings to the Legislature of Louisiana prior to February 1, 2023.&nbsp;</p><p><br></p>",6,Divided,Bipartisan
2847,LA,HCR32,Urges and requests that the secretary of state produce an annual report of all voting complaints,Taken by the Clerk of the House and presented to the Secretary of State in accordance with the Rules of the House.,2022-05-26,Enacted,"Oversight and accountability,Transparency",https://www.billtrack50.com/billdetail/1473896/30830,2022,<p>This resolution would urge and request the Secretary of State to produce and publish an annual report of all voting complaints.&nbsp;</p><p><br></p>,1,Divided,Republican
2910,LA,HB947,Prohibits an elected official who has retired or resigned from office from filling the vacancy his retirement or resignation created,House Committee on (09:00 5/18/2022 ),2022-05-18,Introduced,"Ballot access for candidates,Vacancy procedures",https://www.billtrack50.com/billdetail/1478051/30830,2022,<p>This bill would prohibit an elected official who has retired or resigned from state or local elective office to be appointed to succeed himself in the office from which he retired or resigned. This bill would also prohibit an elected official who has retired or resigned from state or local elective office from being deemed eligible as a candidate at an election called to fill the vacancy created by his or her retirement or resignation of that office.<br></p>,1,Divided,Republican
2846,LA,HB846,Provides relative to registration and voting by a person convicted of a felony,House Committee on (10:00 5/17/2022 ),2022-05-17,Introduced,"Voting by felons or incarcerated individuals,Voter registration",https://www.billtrack50.com/billdetail/1473837/30830,2022,"<p>This bill would establish that for the purposes of voter registration and voting, the residence of a person who is incarcerated for the conviction of a felony shall be in this state and in the parish, municipality, if any, and precinct in which he is counted for redistricting purposes by the state. This bill would also repeal existing provisions of law relating to the suspension of registration and voting rights based on a person's conviction of a felony.<br></p>",1,Divided,Democratic
2909,LA,HB1056,Provides relative to persons permitted to register or vote,House Committee on (09:00 5/17/2022 ),2022-05-17,Introduced,"Noncitizen voting,Voter registration",https://www.billtrack50.com/billdetail/1478330/30830,2022,"<p>This bill would mandate that only a citizen of the United States is eligible to register to vote in the state. This bill would also establish the method for proving citizenship, including either a legible photocopy of the applicant's birth certificate that verifies citizenship, the applicant's United States passport, a legible photocopy of the pertinent pages of the applicant's United States passport identifying the applicant and the applicant's passport number, the applicant's United States naturalization documents, the number of the certificate of naturalization, any other documents or methods of proof that are established pursuant to the federal Immigration Reform and Control Act of 1986, or the applicant's Bureau of Indian Affairs card number, tribal treaty card number, or tribal enrollment number. This bill also provides that proof of voter registration from another state is not evidence of citizenship, nor is a driver's license or REAL ID.<br></p>",1,Divided,Republican
2907,LA,HB913,Provides relative to elections for riverboat gaming,House Floor Amendment #4363 Marcelle Withdrawn,2022-05-13,Dead,"Ballot measures (initiative and referendum),Special election procedures",https://www.billtrack50.com/billdetail/1477887/30830,2022,"<p>This bill would mandate that if a parish holds a referendum election on legalizing riverboat gaming, and a majority of voters do not vote for approval, no subsequent referendum election for riverboat gaming may be called in the same parish at any time.</p>",1,Divided,Republican
2747,LA,HB720,Provides for election procedures during a state of emergency.,Becomes HB 1082.,2022-05-12,Advanced from committee,"States of emergency,In-person voting and polling places",https://www.billtrack50.com/billdetail/1467908/30830,2022,"<p><ul><li>Requires the registrar to close registration records 15 days before an election when an emergency is declared.</li><li>Requires the secretary of state to post a list of all changed polling locations on the secretary of state's website in an emergency.</li><li>Allows the clerk of court to contact voters via phone or email to inform them of changes in a state of emergency.</li><li>Allows the secretary of state to take necessary actions to ensure successful execution of an election after the governor issues a state of emergency.</li><li>Provides that if a state of emergency is declared within 15 days of an election, all ballots received within three days following the election will be counted.</li></ul></p>",1,Divided,Democratic
2652,LA,HB84,"Eliminates, subject to adoption of a constitutional amendment, the gubernatorial appointment of three members of the State Board of Elementary and Secondary Education, providing for an all-elected membership and reducing the membership to eight","Read by title, returned to the calendar.",2022-05-03,Advanced from committee,"Ballot measures (initiative and referendum),Vacancy procedures",https://www.billtrack50.com/billdetail/1455743/30830,2022,"<p style=""color: rgb(79, 101, 123); font-family: Roboto, -apple-system, &quot;system-ui&quot;, &quot;Segoe UI&quot;, Oxygen, Ubuntu, Cantarell, &quot;Fira Sans&quot;, &quot;Droid Sans&quot;, &quot;Helvetica Neue&quot;, sans-serif; font-size: 14.304px; white-space: normal;"">This bill proposes a referendum for a constitutional amendment to eliminate the gubernatorial appointment of three members of the State Board of Elementary and Secondary Education. If adopted, the amendment would provide for an all-elected membership of the Board and and reduce its membership from eleven to eight.</p><p><br></p>",1,Divided,Republican
2745,LA,HB680,Provides relative to notice of changes to polling places,Becomes HB 1065.,2022-04-28,Advanced from committee,"Oversight and accountability,In-person voting and polling places",https://www.billtrack50.com/billdetail/1468085/30830,2022,"<p><p><ul><li>Requires affected voters be notified of polling place changes via phone or electronic means in a state of emergency.</li><li>Requires the parish board of election supervisors to publish polling place locations on websites maintained by parish officials and by the secretary of state, where applicable.</li><li>Requires the governing authority to inform the secretary of state of all polling place changes.</li></ul></p></p>",1,Divided,Democratic
2735,LA,SB199,Constitutional amendment to ensure the right to free and equal elections. (2/3 - CA13s1(A)),"Reconsidered. Read by title; returned to the Calendar, subject to call.",2022-04-28,Advanced from committee,Ballot measures (initiative and referendum),https://www.billtrack50.com/billdetail/1466466/30830,2022,"<p><span style=""color: rgb(79, 101, 123); font-family: Roboto, -apple-system, &quot;system-ui&quot;, &quot;Segoe UI&quot;, Oxygen, Ubuntu, Cantarell, &quot;Fira Sans&quot;, &quot;Droid Sans&quot;, &quot;Helvetica Neue&quot;, sans-serif; font-size: 14.304px; white-space: normal;"">This proposed constitutional amendment would enshrine the right that all elections be free and equal, while also prohibiting any powers, civil or military, from interfering with or preventing the free exercise of the right to vote at any time.</span><br></p>",1,Divided,Democratic
2761,LA,HB352,Provides relative to prepaid postage on absentee ballots,House Committee Amendment #2770 H&G Draft,2022-04-19,Introduced,"Absentee/mail-in ballot return processes,Voting materials",https://www.billtrack50.com/billdetail/1465472/30830,2022,"<p><font color=""#4f657b"" face=""Roboto, -apple-system, system-ui, Segoe UI, Oxygen, Ubuntu, Cantarell, Fira Sans, Droid Sans, Helvetica Neue, sans-serif""><span style=""font-size: 14.304px; white-space: normal;"">This bill would require that for mailed ballots, the envelope mailed to the voter would contain ballot envelopes and a postage paid return envelope.</span></font><br></p>",1,Divided,Democratic
826,LA,HB1,Provides relative to the districts for members of the United States Congress (Item #3),Effective date: See Act.,2022-03-31,Enacted,Redistricting,https://www.billtrack50.com/billdetail/1443396,2022,<p>This bill sets forth a redistricting plan for congressional districts in the State of Louisiana and those state and local offices reliant on congressional districts.&nbsp;</p>,8,Divided,Republican
854,LA,SB5,Provides for redistricting of Louisiana congressional districts. (Item #3),"Read by title and returned to the Calendar, subject to call.",2022-03-30,Vetoed,Redistricting,https://www.billtrack50.com/billdetail/1443185,2022,<p>This bill sets forth a redistricting plan for congressional districts in the State of Louisiana and those state and local offices reliant on congressional districts.&nbsp;<br></p>,2,Divided,Republican
2850,LA,HB851,Provides for the redistricting of the supreme court,"Read by title, under the rules, referred to the Committee on House and Governmental Affairs.",2022-03-23,Introduced,Redistricting,https://www.billtrack50.com/billdetail/1474062/30830,2022,"<p style=""""><font color=""#4f657b"" face=""Roboto, -apple-system, system-ui, Segoe UI, Oxygen, Ubuntu, Cantarell, Fira Sans, Droid Sans, Helvetica Neue, sans-serif""><span style=""font-size: 14.304px; white-space: normal;"">This bill would provide for the redistricting of the supreme court justice districts, issue guidance for the&nbsp;</span></font><span style=""color: rgb(79, 101, 123); font-family: Roboto, -apple-system, system-ui, &quot;Segoe UI&quot;, Oxygen, Ubuntu, Cantarell, &quot;Fira Sans&quot;, &quot;Droid Sans&quot;, &quot;Helvetica Neue&quot;, sans-serif; font-size: 14.304px; white-space: normal;"">filling of vacancies on the court, and eliminate statutory provisions for a temporary additional j</span><span style=""font-size: 14.304px; white-space: normal; color: rgb(79, 101, 123); font-family: Roboto, -apple-system, system-ui, &quot;Segoe UI&quot;, Oxygen, Ubuntu, Cantarell, &quot;Fira Sans&quot;, &quot;Droid Sans&quot;, &quot;Helvetica Neue&quot;, sans-serif;"">udgeship for the Court of Appeal for the Fourth Circuit after such judge's appointment to the&nbsp;</span><span style=""font-size: 14.304px; white-space: normal; color: rgb(79, 101, 123); font-family: Roboto, -apple-system, system-ui, &quot;Segoe UI&quot;, Oxygen, Ubuntu, Cantarell, &quot;Fira Sans&quot;, &quot;Droid Sans&quot;, &quot;Helvetica Neue&quot;, sans-serif;"">supreme court.</span></p>",1,Divided,Democratic
2738,LA,SB306,Provides relative to the districts for elected members of the United States Congress. (See Act),Introduced in the Senate; read by title. Rules suspended. Read second time and referred to the committee on Senate and Governmental Affairs.,2022-03-14,Introduced,Redistricting,https://www.billtrack50.com/billdetail/1466987/30830,2022,<p>This bill sets forth a redistricting plan for congressional districts in the State of Louisiana and those state and local offices reliant on congressional districts.&nbsp;<br></p>,1,Divided,Democratic
2734,LA,HB562,(Constitutional Amendment) Provides relative to a redistricting commission,"Read by title, under the rules, referred to the Committee on House and Governmental Affairs.",2022-03-14,Introduced,"Ballot measures (initiative and referendum),Redistricting commissions",https://www.billtrack50.com/billdetail/1466981/30830,2022,"<p></p><ul><li>Replaces the term ""reapportionment"" with ""redistricting"" throughout the text.</li><li>Establishes a redistricting commission for each decennial census year to propose redistricting plans to the Louisiana Legislature.</li><li>Outlines membership requirements, deadlines, and appointment procedures for the redistricting commission.</li><li>Provides for filling vacancies, terms of service, per diem, and oath of office for commissioners.</li><li>Outlines goals and procedures of the commission and requirements for the plan development and reporting.</li></ul><p></p>",1,Divided,Democratic
2740,LA,SB308,Provides for redistricting of the Supreme Court. (2/3 - CA5s4)(see Act),Introduced in the Senate; read by title. Rules suspended. Read second time and referred to the committee on Senate and Governmental Affairs.,2022-03-14,Introduced,Redistricting,https://www.billtrack50.com/billdetail/1466996/30830,2022,"<p>This bill would provide for the redistricting of the supreme court justice districts, issue guidance for the filling of vacancies on the court, and eliminate statutory provisions for a temporary additional judgeship for the Court of Appeal for the Fourth Circuit after such judge's appointment to the supreme court.<br></p>",1,Divided,Republican
2749,LA,SB309,Provides for redistricting of the Supreme Court. (2/3 - CA5s4)(See Act),Introduced in the Senate; read by title. Rules suspended. Read second time and referred to the committee on Senate and Governmental Affairs.,2022-03-14,Introduced,Redistricting,https://www.billtrack50.com/billdetail/1467827/30830,2022,"<p>This bill would provide for the redistricting of the supreme court justice districts, issue guidance for the filling of vacancies on the court, and eliminate statutory provisions for a temporary additional judgeship for the Court of Appeal for the Fourth Circuit after such judge's appointment to the supreme court.<br></p>",1,Divided,Republican
2763,LA,HB362,Provides relative to petitions submitted to registrars of voters,"Read by title, under the rules, referred to the Committee on House and Governmental Affairs.",2022-03-14,Introduced,Ballot measures (initiative and referendum),https://www.billtrack50.com/billdetail/1465425/30830,2022,"<p>This bill strikes the term ""incapacitated"" from an existing law related to ballot signatures, and replaces it with ""person who is unable to write.""</p>",1,Divided,Republican
2739,LA,SB307,Provides for redistricting of the Louisiana Supreme Court.,Introduced in the Senate; read by title. Rules suspended. Read second time and referred to the committee on Senate and Governmental Affairs.,2022-03-14,Introduced,Redistricting,https://www.billtrack50.com/billdetail/1467343/30830,2022,"<p>This bill would provide for the redistricting of the supreme court justice districts, issue guidance for the filling of vacancies on the court, and eliminate statutory provisions for a temporary additional judgeship for the Court of Appeal for the Fourth Circuit after such judge's appointment to the supreme court.<br></p>",1,Divided,Democratic
2703,LA,HB279,Provides relative to poll watchers,"Read by title, under the rules, referred to the Committee on House and Governmental Affairs.",2022-03-14,Introduced,"Poll observers,Election dates and administrative deadlines",https://www.billtrack50.com/billdetail/1463673/30830,2022,"<ul><li>Provides for ""political party super watchers"" for recognized parties with affiliation from at least 25% of registered voters.</li><li>Outlines the number of super watchers a parish qualifies for, based upon population.</li><li>Outlines notification requirements for political party super watchers.</li><li>Provides for early voting watchers for recognized parties with affiliation from at least 25% of registered voters.</li><li>Outlines who may be an early voting watcher and how they may do their job.</li><li>Requires the registrar of voters or deputy registrar to regulate the number of watchers in the early voting location.</li><li>Outlines the administration and requirements of early watchers.<br></li></ul>",1,Divided,Republican
2743,LA,HB608,Provides relative to the districts for members of the United States Congress,"Read by title, under the rules, referred to the Committee on House and Governmental Affairs.",2022-03-14,Introduced,Redistricting,https://www.billtrack50.com/billdetail/1467584/30830,2022,<p>This bill sets forth a redistricting plan for congressional districts in the State of Louisiana and those state and local offices reliant on congressional districts.&nbsp;<br></p>,1,Divided,Republican
2746,LA,HB712,Provides for redistricting of Louisiana congressional districts,"Read by title, under the rules, referred to the Committee on House and Governmental Affairs.",2022-03-14,Introduced,Redistricting,https://www.billtrack50.com/billdetail/1468047/30830,2022,<p>This bill sets forth a redistricting plan for congressional districts in the State of Louisiana and those state and local offices reliant on congressional districts.&nbsp;<br></p>,1,Divided,Democratic
2748,LA,HB738,Provides for the redistricting of the supreme court,"Read by title, under the rules, referred to the Committee on House and Governmental Affairs.",2022-03-14,Introduced,Redistricting,https://www.billtrack50.com/billdetail/1467825/30830,2022,"<p>This bill would provide for the redistricting of the supreme court justice districts, issue guidance for the filling of vacancies on the court, and eliminate statutory provisions for a temporary additional judgeship for the Court of Appeal for the Fourth Circuit after such judge's appointment to the supreme court.<br></p>",1,Divided,Democratic
827,LA,HB14,Provides for the districts for the election of members to the House of Representatives (Item #1),Effective date: See Act.,2022-03-09,Enacted,Redistricting,https://www.billtrack50.com/billdetail/1448407,2022,<p>This bill would provide for the redistricting of the state House of Representatives districts.<br></p>,54,Divided,Bipartisan
2647,LA,HB2,Provides relative to election districts for members of the Public Service Commission (Item #5),Effective date: See Act.,2022-03-09,Enacted,Redistricting,https://www.billtrack50.com/billdetail/1443430,2022,<p>This bill would provide for the redistricting of the Public Service Commission districts.<br></p>,1,Divided,Republican
839,LA,SB1,Provides for the redistricting of the Louisiana Senate. (Item #2),Effective date: See Act.,2022-03-09,Enacted,Redistricting,https://www.billtrack50.com/billdetail/1443206,2022,<p>This bill would provide for the redistricting of the state Senate districts.<br></p>,1,Divided,Republican
835,LA,HB3,Provides relative to the election districts for the State Board of Elementary and Secondary Education (Item #4),Effective date: See Act.,2022-03-09,Enacted,Redistricting,https://www.billtrack50.com/billdetail/1444959,2022,<p>This bill would alter the membership of the State Board of Elementary and Secondary Education to include elected members from eight districts and provide for the geographic areas of each district.<br></p>,2,Divided,Republican
2702,LA,HB256,Provides relative to elections,First appeared in the Interim Calendar on 3/4/2022.,2022-03-04,Introduced,"Voting equipment,Poll observers,Counting and canvassing procedures,Early voting administration,Election workers/volunteers",https://www.billtrack50.com/billdetail/1463118/30830,2022,"<p></p><ul><li>Provides for ""political party super watchers"" for recognized parties with affiliation from at least 25% of registered voters.</li><li>Outlines the number of super watchers a parish qualifies for, based upon population.</li><li>Outlines notification requirements for political party super watchers.</li><li>Provides for early voting watchers for recognized parties with affiliation from at least 25% of registered voters.</li><li>Outlines who may be an early voting watcher and how they may do their job.</li><li>Requires the registrar of voters or deputy registrar to regulate the number of watchers in the early voting location.</li><li>Outlines the administration and requirements of early watchers.</li><li>Allows voting machines to use voter facing optical scanners or other vote capture technology.</li><li>Defines ""voting system.""</li><li>Requires that voting systems include procedures by the secretary of state to verify software and firmware installed on the machine.</li><li>Requires the voting system to maintain an internal record of ballots.</li><li>Requires paper ballots to have counterfieit protection.</li></ul><p></p>",1,Divided,Republican
844,LA,SB15,Provides for redistricting of the Supreme Court. (2/3 - CA5s4) (Item #6),"Read by title, returned to the calendar.",2022-02-18,Passed one chamber,Redistricting,https://www.billtrack50.com/billdetail/1444258,2022,"<p>This bill would provide for the redistricting of the supreme court justice districts, issue guidance for the filling of vacancies on the court, and eliminate statutory provisions for a temporary additional judgeship for the Court of Appeal for the Fourth Circuit after such judge's appointment to the supreme court.<br></p>",1,Divided,Republican
847,LA,SB19,Provides relative to the election districts for members of the Public Service Commission. (Item #5),"Read by title, returned to the calendar.",2022-02-18,Passed one chamber,Redistricting,https://www.billtrack50.com/billdetail/1444470,2022,<p>This bill would provide for the redistricting of the Public Service Commission districts.<br></p>,2,Divided,Republican
843,LA,SB14,Provides relative to the election districts for the State Board of Elementary and Secondary Education. (Item #4),"Read by title, returned to the calendar.",2022-02-18,Passed one chamber,Redistricting,https://www.billtrack50.com/billdetail/1444300,2022,<p>This bill would provide for the redistricting of the State Board of Elementary and Secondary Education districts.<br></p>,2,Divided,Republican
2581,LA,HB20,Provides for the redistricting of the supreme court (Item #6),House Floor Amendment #148 Carter Wilford Proposed,2022-02-17,Advanced from committee,Redistricting,https://www.billtrack50.com/billdetail/1449006,2022,"<p>This bill would provide for the redistricting of the supreme court justice districts, issue guidance for the filling of vacancies on the court, and eliminate statutory provisions for a temporary additional judgeship for the Court of Appeal for the Fourth Circuit after such judge's appointment to the supreme court.<br></p>",1,Divided,Democratic
829,LA,HB18,Provides for the redistricting of the supreme court (Item #6),House Floor Amendment #149 Carter Wilford Proposed,2022-02-17,Advanced from committee,Redistricting,https://www.billtrack50.com/billdetail/1448892,2022,<p>This bill would provide for the redistricting of the supreme court justice districts.<br></p>,1,Divided,Democratic
831,LA,HB22,Provides for the redistricting of the supreme court (Item #6),House Floor Amendment #141 Ivey Adopted,2022-02-16,Advanced from committee,Redistricting,https://www.billtrack50.com/billdetail/1453104,2022,<p>This bill would provide for the redistricting of the supreme court justice districts.<br></p>,1,Divided,Republican
832,LA,HB23,Provides for the districts for the election of members to the House of Representatives (Item #1),House Committee on (09:30 2/16/2022 ),2022-02-16,Introduced,Redistricting,https://www.billtrack50.com/billdetail/1454540,2022,<p>This bill would provide for the redistricting of the state House of Representatives districts.<br></p>,1,Divided,Democratic
828,LA,HB17,Provides for nine election districts for the election of justices to the supreme court (Item #6),House Committee on (09:30 2/16/2022 ),2022-02-16,Introduced,Redistricting,https://www.billtrack50.com/billdetail/1448976,2022,"<p>This bill would provide for the redistricting of the supreme court justice districts, issue guidance for the filling of vacancies on the court, and eliminate statutory provisions for a temporary additional judgeship for the Court of Appeal for the Fourth Circuit after such judge's appointment to the supreme court.<br></p>",1,Divided,Democratic
833,LA,HB24,Provides for the districts for the election of members to the House of Representatives (Item #1),House Committee on (09:30 2/16/2022 ),2022-02-16,Introduced,Redistricting,https://www.billtrack50.com/billdetail/1454285,2022,<p>This bill would provide for the redistricting of the state House of Representatives districts.<br></p>,1,Divided,Democratic
852,LA,SB23,Provides for redistricting of the Supreme Court. (2/3-CA5s4) (Item #6),"Senate Committee on Senate and Governmental Affairs (09:30 2/15/2022 John J. Hainkel, Jr. Room)",2022-02-15,Introduced,Redistricting,https://www.billtrack50.com/billdetail/1452820,2022,"<p>This bill would provide for the redistricting of the supreme court justice districts, issue guidance for the filling of vacancies on the court, and eliminate statutory provisions for a temporary additional judgeship for the Court of Appeal for the Fourth Circuit after such judge's appointment to the supreme court.<br></p>",1,Divided,Democratic
837,LA,HB5,Provides relative to the election districts for members of congress (Item #3),House Committee on  (09:00 2/11/2022 ),2022-02-11,Introduced,Redistricting,https://www.billtrack50.com/billdetail/1447195,2022,<p>This bill sets forth a redistricting plan for congressional districts in the State of Louisiana and those state and local offices reliant on congressional districts.&nbsp;<br></p>,1,Divided,Democratic
857,LA,SB8,Provides for the redistricting of the Supreme Court. (2/3 - CA5s4) (Item #6),"Senate Committee on Senate and Governmental Affairs (09:30 2/9/2022 John J. Hainkel, Jr. Room)",2022-02-09,Introduced,Redistricting,https://www.billtrack50.com/billdetail/1443793,2022,<p>This bill would provide for the redistricting of the supreme court justice districts.<br></p>,13,Divided,Democratic
842,LA,SB13,Provides for the redistricting of the Supreme Court. (2/3 - CA5s4) (Item #6),"Senate Committee on Senate and Governmental Affairs (09:30 2/9/2022 John J. Hainkel, Jr. Room)",2022-02-09,Introduced,Redistricting,https://www.billtrack50.com/billdetail/1444145,2022,"<p>This bill would provide for the redistricting of the supreme court justice districts, issue guidance for the filling of vacancies on the court, and eliminate statutory provisions for a temporary additional judgeship for the Court of Appeal for the Fourth Circuit after such judge's appointment to the supreme court.<br></p>",1,Divided,Democratic
850,LA,SB21,Provides for redistricting the State Board of Elementary and Secondary Education. (Item #4),"Senate Committee on Senate and Governmental Affairs (09:30 2/8/2022 John J. Hainkel, Jr. Room)",2022-02-08,Introduced,Redistricting,https://www.billtrack50.com/billdetail/1445862,2022,<p>This bill would provide for the redistricting of the State Board of Elementary and Secondary Education districts.<br></p>,1,Divided,Democratic
853,LA,SB3,Provides for the redistricting of the Louisiana Public Service Commission. (Item #5),"Senate Committee on Senate and Governmental Affairs (09:30 2/8/2022 John J. Hainkel, Jr. Room)",2022-02-08,Introduced,Redistricting,https://www.billtrack50.com/billdetail/1443214,2022,<p>This bill would provide for the redistricting of the&nbsp;Public Service Commission&nbsp;districts.<br></p>,13,Divided,Democratic
830,LA,HB19,Provides relative to the districts for members of the United States Congress (Item #3),"Read by title, under the rules, referred to the Committee on House and Governmental Affairs.",2022-02-08,Introduced,Redistricting,https://www.billtrack50.com/billdetail/1448938,2022,<p>This bill sets forth a redistricting plan for congressional districts in the State of Louisiana and those state and local offices reliant on congressional districts.&nbsp;<br></p>,1,Divided,Republican
856,LA,SB7,Provides relative to the election districts for the State Board of Elementary and Secondary Education. (Item #4),"Senate Committee on Senate and Governmental Affairs (09:30 2/8/2022 John J. Hainkel, Jr. Room)",2022-02-08,Introduced,Redistricting,https://www.billtrack50.com/billdetail/1444092,2022,<p>This bill would alter the membership of the State Board of Elementary and Secondary Education to include elected members from eight districts and provide for the geographic areas of each district.<br></p>,13,Divided,Democratic
851,LA,SB22,Provides relative to the districts for elected members of the United States Congress. (Item #3),Read second time by title and referred to the Committee on Senate and Governmental Affairs.,2022-02-07,Introduced,Redistricting,https://www.billtrack50.com/billdetail/1448511,2022,<p>This bill sets forth a redistricting plan for congressional districts in the State of Louisiana and those state and local offices reliant on congressional districts.&nbsp;<br></p>,1,Divided,Democratic
841,LA,SB11,Provides for the redistricting of Congress. (Item #3),"Senate Committee on Senate and Governmental Affairs (09:30 2/4/2022 John J. Hainkel, Jr. Room)",2022-02-04,Introduced,Redistricting,https://www.billtrack50.com/billdetail/1444191,2022,<p>This bill sets forth a redistricting plan for congressional districts in the State of Louisiana and those state and local offices reliant on congressional districts.&nbsp;<br></p>,13,Divided,Democratic
846,LA,SB17,Provides for redistricting the Senate. (Item #2),"Senate Committee on Senate and Governmental Affairs (09:30 2/4/2022 John J. Hainkel, Jr. Room)",2022-02-04,Introduced,Redistricting,https://www.billtrack50.com/billdetail/1444516,2022,<p>This bill would provide for the redistricting of the state Senate districts.<br></p>,12,Divided,Democratic
845,LA,SB16,Provides relative to the districts for elected members of the United States Congress. (Item #3),"Senate Committee on Senate and Governmental Affairs (09:30 2/4/2022 John J. Hainkel, Jr. Room)",2022-02-04,Introduced,Redistricting,https://www.billtrack50.com/billdetail/1444278,2022,<p>This bill sets forth a redistricting plan for congressional districts in the State of Louisiana and those state and local offices reliant on congressional districts.&nbsp;<br></p>,13,Divided,Democratic
848,LA,SB2,Provides for the redistricting of Congress. (Item #3),"Senate Committee on Senate and Governmental Affairs (09:30 2/4/2022 John J. Hainkel, Jr. Room)",2022-02-04,Introduced,Redistricting,https://www.billtrack50.com/billdetail/1443228,2022,<p>This bill sets forth a redistricting plan for congressional districts in the State of Louisiana and those state and local offices reliant on congressional districts.&nbsp;<br></p>,13,Divided,Democratic
858,LA,SB9,Provides for the redistricting of Congress. (Item #3),"Senate Committee on Senate and Governmental Affairs (09:30 2/4/2022 John J. Hainkel, Jr. Room)",2022-02-04,Introduced,Redistricting,https://www.billtrack50.com/billdetail/1443844,2022,<p>This bill sets forth a redistricting plan for congressional districts in the State of Louisiana and those state and local offices reliant on congressional districts.&nbsp;<br></p>,13,Divided,Democratic
